Date,Close/Last,Volume,Open,High,Low
2/13/2024,$184.02 ,86759480,$183.99 ,$187.26 ,$182.11 
2/12/2024,$188.13 ,95498600,$192.11 ,$194.73 ,$187.28 
2/9/2024,$193.57 ,84476350,$190.18 ,$194.12 ,$189.48 
2/8/2024,$189.56 ,83034040,$189.00 ,$191.62 ,$185.58 
2/7/2024,$187.58 ,111535200,$188.18 ,$189.79 ,$182.68 
2/6/2024,$185.10 ,122676000,$177.21 ,$186.49 ,$177.11 
2/5/2024,$181.06 ,134294400,$184.26 ,$184.68 ,$175.01 
2/2/2024,$187.91 ,110612700,$185.04 ,$188.69 ,$182.00 
2/1/2024,$188.86 ,91843280,$188.50 ,$189.88 ,$184.28 
1/31/2024,$187.29 ,103221400,$187.00 ,$193.97 ,$185.85 
1/30/2024,$191.59 ,109982300,$195.33 ,$196.36 ,$190.61 
1/29/2024,$190.93 ,125013100,$185.63 ,$191.48 ,$183.67 
1/26/2024,$183.25 ,107343200,$185.50 ,$186.78 ,$182.10 
1/25/2024,$182.63 ,198076800,$189.70 ,$193.00 ,$180.06 
1/24/2024,$207.83 ,123369900,$211.88 ,$212.73 ,$206.77 
1/23/2024,$209.14 ,106605900,$211.30 ,$215.65 ,$207.75 
1/22/2024,$208.80 ,117952500,$212.26 ,$217.80 ,$206.27 
1/19/2024,$212.19 ,102260300,$209.99 ,$213.19 ,$207.56 
1/18/2024,$211.88 ,108595400,$216.88 ,$217.45 ,$208.74 
1/17/2024,$215.55 ,103164400,$214.86 ,$215.67 ,$212.01 
1/16/2024,$219.91 ,115355000,$215.10 ,$223.49 ,$212.18 
1/12/2024,$218.89 ,123043800,$220.08 ,$225.34 ,$217.15 
1/11/2024,$227.22 ,105873600,$230.57 ,$230.93 ,$225.37 
1/10/2024,$233.94 ,91628500,$235.10 ,$235.50 ,$231.29 
1/9/2024,$234.96 ,96705660,$238.11 ,$238.96 ,$232.04 
1/8/2024,$240.45 ,85166580,$236.14 ,$241.25 ,$235.30 
1/5/2024,$237.49 ,92488940,$236.86 ,$240.12 ,$234.90 
1/4/2024,$237.93 ,102629300,$239.25 ,$242.70 ,$237.73 
1/3/2024,$238.45 ,121082600,$244.98 ,$245.68 ,$236.32 
1/2/2024,$248.42 ,104654200,$250.08 ,$251.25 ,$244.41 
12/29/2023,$248.48 ,100891600,$255.10 ,$255.19 ,$247.43 
